id,name_en,name_zh,name_ja,description_zh,description_en,description_ja,effect_zh,effect_en,effect_ja,image_path
1,Normal,一般属性,ノーマル,一般属性（日文︰ノーマルタイプ，英文︰Normal type）是宝可梦的属性之一。,"The Normal type (Japanese: ノーマルタイプ Normal type) is one of the eighteen types. Normal-type moves are not super effective against any Pokémon, while Normal-type Pokémon are weak to Fighting-type moves.",他のタイプに比べて特徴がない、他のタイプへ強く属さないような性質を持つのがノーマルタイプの特徴と言える。可愛い容姿をした、いわゆるファンシーポケモンが多く属するタイプだが、一部はX・Yからフェアリータイプに変更となった。他には陸上動物の獣類、さらに鳥類（後述のノーマル・ひこうの類）をモチーフとしたポケモンにノーマルタイプが多い。またそのような性質からか、ノーマルとの複合タイプは、ひこうを除いて少ない。ひこうポケモンの内ノーマルタイプを有するものは3割以上にもなる。,,"Note: Type effectiveness multipliers may vary in other games outside the core series .
The Steel type was introduced in Generation II .
Additional effects
If the user has the Ability Scrappy or Mind's Eye , or the target is under the effect of the moves Foresight or Odor Sleuth , Normal-type moves will deal ×1 damage to Ghost-type Pokémon .
In Generation I , Normal-type Pokémon cannot be paralyzed by Body Slam . Normal-type Pokémon are also affected by Night Shade , despite the move being Ghost-type, which the Normal type is normally immune to. From Generation II onwards, Normal-type Pokémon can be paralyzed by Body Slam and are unaffected by Night Shade.",相性 ゴースト タイプのわざは、効果無しとなる。 かくとう タイプのわざは、効果が抜群となる。 関係する わざ ひこう 単タイプのポケモンが はねやすめ を使用すると、ノーマルタイプの相性で判定される。 関係する もちもの ねらいのまと を持つと、ゴーストタイプの技が当たるようになる。 関係する とくせい てんき がなし・ すなあらし ・ きり のとき、とくせいが てんきや のポケモンはノーマルタイプになる。 過去の仕様 第一世代 のみ、 のしかかり の 追加効果 では まひ 状態にならない仕様があった。,typeImage/normal.png
2,Fighting,格斗属性,かくとう,格斗属性（日文︰かくとうタイプ，英文︰Fighting type）是宝可梦的属性之一。,"The Fighting type (Japanese: かくとうタイプ Fighting type) is one of the eighteen types. Fighting-type moves are super effective against Dark-, Ice-, Normal-, Rock-, and Steel-type Pokémon, while Fighting-type Pokémon are weak to Flying-, Fairy-, and Psychic-type moves.",このタイプには格闘を得意とするポケモンや格闘技をモチーフとしたポケモンが分類される。二足歩行で手やそれに準ずる器官を持ち、ヒトに近い姿をしていることが多い。物理攻撃の象徴とも言えるタイプでありこうげきが高い傾向が顕著。反対にとくこうが低い傾向にあり、こうげきよりもとくこうが高いものはごく一部である。また、性別が♂のみか、♂の比率が高いポケモンが多い。,,"Note: Type effectiveness multipliers may vary in other games outside the core series .
The Dark and Steel types were introduced in Generation II . The Fairy type was introduced in Generation VI .
Additional effects
If the user has the Ability Scrappy or Mind's Eye , or the target is under the effect of the moves Foresight or Odor Sleuth , Fighting-type moves will deal ×1 damage to Ghost-type Pokémon.",相性 ひこう ・ エスパー ・ フェアリー タイプの技は、効果が抜群となる。 むし ・ あく ・ いわ タイプの技は、効果が今一つとなる。 関係する とくせい とくせいが マルチタイプ のポケモンが こぶしのプレート を持つとかくとうタイプになる。 とくせいが ARシステム のポケモンが ファイトメモリ を持つとかくとうタイプになる。,typeImage/fighting.png
3,Flying,飞行属性,ひこう,飞行属性（日文︰ひこうタイプ，英文︰Flying type）是宝可梦的属性之一。,"The Flying type (Japanese: ひこうタイプ Flying type) is one of the eighteen types. Flying-type moves are super effective against Bug-, Fighting-, and Grass-type Pokémon, while Flying-type Pokémon are weak to Electric-, Ice-, and Rock-type moves.",鳥など、主に翼で空を飛ぶポケモンが分類される。そらをとぶの使い手として第六世代以前のストーリーではほぼ必須のタイプであった。ポケットモンスター X・Yではこのタイプがメインのスカイバトルというバトル形式が存在する。,"第二世代起
飞行属性宝可梦通常情况下不属于 地面上的宝可梦 。
第六世代起
飞行属性宝可梦在 天气型状态 乱流 中不会被 电属性 、 冰属性 和 岩石属性 的技能造成 效果绝佳 。
反转对战 中，飞行属性宝可梦在 天气型状态 乱流 中不会被 草属性 、 虫属性 、 地面属性 和 格斗属性 的技能造成 效果绝佳 。","Note: Type effectiveness multipliers may vary in other games outside the core series .
The Steel type was introduced in Generation II .
Additional effects
From Generation II onwards, Flying-type Pokémon are not considered grounded for effects that affect grounded Pokémon (e.g. entry hazards ). This makes Flying-type Pokémon immune to the Ability Arena Trap , the move Rototiller , and all entry hazards (except Stealth Rock ), but also from the benefits of terrains (though they can still use Seeds). If Flying-type Pokémon lose their ungrounded status by methods like holding Iron Ball or being under the effect of moves such as Ingrain ( Generation IV onward), Gravity , Smack Down or Thousand Arrows , they also lose their immunity to Ground-type Pokémon in addition to those benefitted from being ungrounded. Holding Ring Target makes them lose their type immunity to Ground type moves, but keeps ungrounded status for other effects.
When a Flying-type uses the move Roost , introduced in Generation IV , it temporarily loses its Flying type for a turn. If a pure Flying-type Pokémon uses Roost, then it will become a ??? type in Generation IV and a Normal type in Generation V onward.
The move Sky Drop , introduced in Generation V , allows the user to pick up a Flying-type Pokémon and make it unable to move. However, on the next turn, Sky Drop will fail and free the target, even if the target is grounded.
The effectiveness of the move Flying Press , introduced in Generation VI , is calculated by multiplying the effectiveness of its move type (usually Fighting ) and the Flying type.",相性 でんき ・ こおり ・ いわ タイプの技は、効果が抜群となる。 くさ ・ かくとう ・ むし タイプの技は、効果が今一つとなる。 じめん タイプの技は、効果無しとなる。 関係する わざ はねやすめ を使用したターンは、ひこうタイプがなくなる。 フリーフォール を受けてもダメージがない。 地面にいないときに サウザンアロー を受けた場合、自分のタイプに関係なく 等倍 でダメージを受け、 うちおとす 状態となる。 例えば くさ ・ひこうタイプの ワタッコ であっても、 はがね ・ひこうタイプの エアームド であっても地面にいなければサウザンアローは等倍で入る。 地面にいるときにサウザンアローを受けた場合は、ひこうタイプのじめん技耐性を無視し、他のタイプ相性も考慮に入れた相性計算がされる。 関係する状態（ 状態異常 ・ 状態変化 ・ 場の状態 ） ひこうタイプを持つポケモンは 地面にいない 状態となり、地面にいるポケモンに対して発動するあらゆる効果を受けない（ 地面にいる#効果 も参照）。 まきびし ・ どくびし ・ ねばねばネット の影響を受けない。例え どく タイプであってもどくびしを解除できない。 ひこうタイプであっても地面にいる場合は影響を受け、どくタイプであればどくびしを解除できる。 場が エレキフィールド 状態・ グラスフィールド 状態・ ミストフィールド 状態・ サイコフィールド 状態でも、その恩恵を受けられない。 自分が うちおとす 状態・ ねをはる 状態のとき、場が じゅうりょく 状態のときは、地面にいると見なされる。 てんき が らんきりゅう である場合、ひこうタイプを持つポケモンに対する、 でんき ・ こおり ・ いわ タイプ技のダメージが0.5倍になる（ らんきりゅう も参照）。 関係する もちもの くろいてっきゅう を持つと、 地面にいる 状態になる。 ねらいのまと を持つと、じめんタイプの技に対する耐性がなくなる。 関係する とくせい 相手にとくせいが ありじごく のポケモンがいても、 交代 や 逃亡 を制限されない。 自分が 地面にいる ときは制限される。,typeImage/flying.png
4,Poison,毒,どく,毒重定向至此。如果您在寻找一种异常状态，请移步中毒（状态）。,"The Poison type (Japanese: どくタイプ Poison type) is one of the eighteen types. Poison-type moves are super effective against Fairy- and Grass-type Pokémon, while Poison-type Pokémon are weak to Ground- and Psychic-type moves.",毒を持つポケモンや毒そのものでできたポケモンはこのタイプに分類される。ロケットだんをはじめ悪の組織の手持ちとして使われやすく、悪役のイメージが強い。大半は紫色をしていて見た目のインパクトも強烈だが、ゴミを食べるといったように汚れを引き受ける設定のポケモンも存在し、必ずしも害があるわけではない。,"第一世代起
毒属性宝可梦不会陷入 中毒 和 剧毒 状态。
第四世代起
毒属性宝可梦替换宝可梦上场时不受到 毒菱 的影响。如果是 地面上的宝可梦 ，则可清除毒菱。
第六世代起
毒属性的宝可梦使用招式 剧毒 的时候，命中率从90变为必中，即使目标正在使用蓄力的招式并不在场地上。
第七世代起
拥有 腐蚀 特性的宝可梦使用可使对方中毒的招式时，可以令毒属性和钢属性的宝可梦中毒。","Note: Type effectiveness multipliers may vary in other games outside the core series .
In Generation I only, Poison-type moves were super effective against Bug-type Pokémon and Bug-type moves were super effective against Poison-type Pokémon. The Steel type was introduced in Generation II . The Fairy type was introduced in Generation VI .
Additional effects
Poison-type Pokémon cannot become poisoned , except by a Pokémon with the Ability Corrosion , introduced in Generation VII .
Grounded Poison-type Pokémon will remove Toxic Spikes from their side when switched in .
From Generation VI onward, when a Poison-type Pokémon uses the move Toxic , it cannot miss, bypassing accuracy checks and semi-invulnerable turns from moves such as Fly and Dig .",相性 じめん ・ エスパー タイプの技は、効果が抜群となる。 くさ ・ かくとう ・どく・ むし ・ フェアリー タイプの技は、効果が今一つとなる。 関係する わざ どくどく が必中する。相手が姿を消していても有効（ 第六世代 から）。 関係する状態（ 状態異常 ・ 状態変化 ・ 場の状態 ） どく 状態・ もうどく 状態にならない。 相手が特性 ふしょく を持つ場合はこの限りでない。 地面にいる どくタイプのポケモンが場に出たとき、味方の場の どくびし を解除できる。 関係する もちもの どくタイプのポケモンのみ、 くろいヘドロ で毎ターンHPが回復する。 関係する とくせい とくせいが マルチタイプ のポケモンが もうどくプレート を持つとどくタイプになる。 とくせいが ARシステム のポケモンが ポイズンメモリ を持つとどくタイプになる。 過去の仕様 第一世代 ではむしタイプの技との相性は効果が抜群であった。,typeImage/poison.png
5,Ground,地面属性,じめん,地面属性（日文︰じめんタイプ，英文︰Ground type）是宝可梦的属性之一。,"The Ground type (Japanese: じめんタイプ Ground type) is one of the eighteen types. Ground-type moves are super effective against Electric-, Fire-, Poison-, Rock-, and Steel-type Pokémon, while Ground-type Pokémon are weak to Grass-, Ice-, and Water-type moves.",地中などに棲むポケモンがこのタイプに分類される。ゲームでは洞窟や砂漠のマップで入手することが多い。じしんのわざマシンが手に入るストーリー終盤から頼もしさを増すタイプである。一方、野生やトレーナーが繰り出すじめんタイプはくさやみずの御三家で弱点を突きやすいこともあって楽に対処しやすい。,"第二世代起
地面属性宝可梦不会受到 天气型状态 沙暴 的伤害。","Note: Type effectiveness multipliers may vary in other games outside the core series .
The Steel type was introduced in Generation II .
Additional effects
Ground-type Pokémon are immune to Thunder Wave , unless they are holding the Ring Target , introduced in Generation V . Ground-type Pokémon are also immune to damage from the sandstorm weather condition, introduced in Generation II , which also increases the power of Ground-type moves by 30% if they have the Ability Sand Force .
From Generation II onwards, Ground-type moves cannot hit Pokémon under the effects of Magnet Rise or Telekinesis , the Air Balloon item , or the Abilities Levitate or Earth Eater , though all Pokémon except those with Earth Eater lose their immunity to Ground-type moves when they are grounded (such as by holding an Iron Ball or being under the effects of the moves Ingrain ( Generation IV onward), Gravity , Smack Down , or Thousand Arrows ). Ground-type moves will also affect Flying-type Pokémon when they lose their ungrounded status.",相性 みず ・ くさ ・ こおり タイプの技は、効果が抜群となる。 どく ・ いわ タイプの技は、効果が今一つとなる。 でんき タイプの 攻撃技 は、効果無しとなる。 関係する わざ でんきタイプの でんじは は効果がない。 その他のでんきタイプの へんかわざ （ かいでんぱ ・ そうでん ）は効果がある。 ノーマル タイプに変化したでんじはは無効化できない。 関係する状態（ 状態異常 ・ 状態変化 ・ 場の状態 ） すなあらし のダメージを受けない。 関係する とくせい とくせいが マルチタイプ のポケモンが だいちのプレート を持つとじめんタイプになる。 とくせいが ARシステム のポケモンが グラウンドメモリ を持つとじめんタイプになる。,typeImage/ground.png
6,Rock,岩石属性,いわ,岩石属性（日文︰いわタイプ，英文︰Rock type）是宝可梦的属性之一。,"The Rock type (Japanese: いわタイプ Rock type) is one of the eighteen types. Rock-type moves are super effective against Bug-, Fire-, Flying-, and Ice-type Pokémon, while Rock-type Pokémon are weak to Fighting-, Grass-, Ground-, Steel-, and Water-type moves.",主に体が岩石で構成されているポケモンが属す。洞窟にのみ出現したり化石から復元することで手に入るレアなポケモンが多い。タケシを筆頭にストーリー最序盤のジムリーダーに使われることが多く、最初の関門として立ちはだかる。弱点がわかりやすいタイプであるため、新米トレーナーがタイプ相性を正しく学んでいるかを試す役割を担っていると言えるだろう。,"岩石属性宝可梦不受 超极巨炎石喷发 的影响。
第二世代起
岩石属性宝可梦不会受到 天气型状态 沙暴 的伤害。
第四世代起
岩石属性宝可梦在 天气型状态 沙暴 中 特防 ×1.5。","Note: Type effectiveness multipliers may vary in other games outside the core series .
The Steel type was introduced in Generation II .
Additional effects
Rock-type Pokémon are immune to damage from the sandstorm weather condition, introduced in Generation II , which also boosts their Special Defense stat by 50% starting in Generation IV .",相性 みず ・ くさ ・ かくとう ・ じめん ・ はがね タイプの技は、効果が抜群となる。 ノーマル ・ ほのお ・ どく ・ ひこう タイプの技は、効果が今一つとなる。 関係する状態（ 状態異常 ・ 状態変化 ・ 場の状態 ） すなあらし のとき、 とくぼう が1.5倍になる（第四世代以降）。 すなあらしのダメージを受けない。 自分の場が キョダイフンセキ 状態であってもダメージを受けない。 関係する とくせい とくせいが マルチタイプ のポケモンが がんせきプレート を持つといわタイプになる。 とくせいが ARシステム のポケモンが ロックメモリ を持つといわタイプになる。,typeImage/rock.png
7,Bug,Bug,むし,Bug重定向至此。如果您在寻找常被玩家称为“bug”的名词，请移步游戏漏洞。,"The Bug type (Japanese: むしタイプ Bug type) is one of the eighteen types. Bug-type moves are super effective against Dark-, Grass-, and Psychic-type Pokémon, while Bug-type Pokémon are weak to Fire-, Flying-, and Rock-type moves.",むしタイプのポケモンは現実で昆虫類に属する生物をモチーフにしたものが多い。一般的に成長が早いこともあってストーリー序盤の戦力となる。また、ほとんどの世代では序盤のジムリーダーが使うタイプとされる。,,"Note: Type effectiveness multipliers may vary in other games outside the core series .
In Generation I only, Bug-type moves were super effective against Poison-type Pokémon and Poison-type moves were super effective against Bug-type Pokémon. The Dark and Steel types were introduced in Generation II . The Fairy type was introduced in Generation VI .",相性 ほのお ・ ひこう ・ いわ タイプの技は、効果が抜群となる。 くさ ・ かくとう ・ じめん タイプの技は、効果が今一つとなる。 関係する とくせい とくせいが マルチタイプ のポケモンが たまむしプレート を持つとむしタイプになる。 とくせいが ARシステム のポケモンが バグメモリ を持つとむしタイプになる。,typeImage/bug.png
8,Ghost,幽灵属性,ゴースト (タイプ),幽灵属性（日文︰ゴーストタイプ，英文︰Ghost type）是宝可梦的属性之一。,"The Ghost type (Japanese: ゴーストタイプ Ghost type) is one of the eighteen types. Ghost-type moves are super effective against Ghost- and Psychic-type Pokémon, while Ghost-type Pokémon are weak to Dark- and Ghost-type moves.",幽霊がモデルのポケモンが分類される。ホラー要素のあるマップやゲーム内の時間帯が夜のときに出現しやすい。,"第一世代起
幽灵属性宝可梦对 一般属性 和 格斗属性 的免疫效果可被招式 识破 解除。
无论速度如何，幽灵属性的宝可梦总是能在对战中 逃走 。
第三世代起
幽灵属性宝可梦对 一般属性 和 格斗属性 的免疫效果可被招式 气味侦测 解除。
第四世代起
幽灵属性宝可梦对 一般属性 和 格斗属性 的免疫效果可被具有特性 胆量 的宝可梦解除。
第六世代起
幽灵属性宝可梦免疫任何阻止交换的效果。
第九世代起
幽灵属性宝可梦对 一般属性 和 格斗属性 的免疫效果可被具有特性 心眼 的宝可梦解除。","Note: Type effectiveness multipliers may vary in other games outside the core series .
In Generation I only, Ghost-type moves had no effect on Psychic-type Pokémon . The Dark and Steel types were introduced in Generation II . In Generations II - V , Ghost-type moves were not very effective against Steel-type Pokémon.
Additional effects
If the user has the Ability Scrappy or Mind's Eye , or the target is under the effect of the moves Foresight or Odor Sleuth , Normal - and Fighting-type moves will deal ×1 damage to Ghost-type Pokémon.
The move Curse , introduced in Generation II , functions differently when used by a Ghost-type Pokémon.
From Generation VI onwards, Ghost-type Pokémon are immune to effects that prevent recall or escape (such as Mean Look and Shadow Tag ), and they are also guaranteed to flee from any wild battle regardless of their Speed stat .
The move Trick-or-Treat , introduced in Generation VI, adds the Ghost type to the target's types.
In Generation I only, Ghost-type Pokémon cannot be paralyzed by Lick , and are affected by Bide , Counter , Seismic Toss , SonicBoom , and Super Fang , despite these moves being Normal- and Fighting-type, which the Ghost type is normally immune to.
In Generations II and III only, Ghost-type Pokémon are immune to Glare .",相性 ゴースト・ あく タイプのわざは、効果が抜群となる。 むし ・ どく タイプのわざは、効果が今一つとなる。 かくとう ・ ノーマル タイプのわざは、効果無しとなる。 関係する わざ ハロウィン を受けたポケモンはタイプにゴーストタイプが追加される。 のろい は、ゴーストタイプのポケモンが使ったときのみ相手を のろい 状態にする。 関係する状態（ 状態異常 ・ 状態変化 ・ 場の状態 ） みやぶられている 状態になったとき、ノーマル・かくとうタイプのわざのとの相性は等倍に変わる。 にげられない 状態・ バインド 状態・ ねをはる 状態・ フェアリーロック 状態で 交代 や 逃亡 を制限されない（ 第六世代 から）。 はがね タイプを併せ持っていても、 じりょく の効果を受けない。 関係する もちもの ねらいのまと を持つと、ノーマル・かくとうタイプのわざが当たるようになる。 関係する とくせい 相手にとくせいが ありじごく ・ かげふみ ・ じりょく のポケモンがいても、交代や逃亡を制限されない（第六世代から）。 とくせいが きもったま ・ しんがん のポケモンが出すノーマル・かくとうタイプのわざは命中する。 とくせいが マルチタイプ の アルセウス が もののけプレート を持つとゴーストタイプになる。 とくせいが ARシステム のポケモンが ゴーストメモリ を持つとゴーストタイプになる。 その他の仕様 野生のポケモンとの戦闘において にげる が必ず成功する（第六世代から）。,typeImage/ghost.png
9,Steel,钢属性,はがね,钢属性（日文︰はがねタイプ，英文︰Steel type）是宝可梦的属性之一。于第二世代引入。,"The Steel type (Japanese: はがねタイプ Steel type), originally called the メタルタイプ Metal type in the Pokémon Gold and Silver Spaceworld '97 demo, is one of the eighteen types. It was introduced in Generation II, along with the Dark type. As well as introducing new Pokémon and moves with the Steel type, two Pokémon were changed to have the Steel type. Steel-type moves are super effective against Fairy-, Ice-, and Rock-type Pokémon, while Steel-type Pokémon are weak to Fighting-, Fire-, and Ground-type moves.",金属をイメージする硬い表皮を持つポケモンや刃物のように鋭いポケモン、金属（鉱物）そのものであるポケモンが分類される。第二世代より登場。タイプのなかで最も多い11個（第五世代までは12個）の耐性を持つ。ストーリー序盤ではダメージを与えにくすぎるためか、ある程度手持ちのタイプが充実する中盤以降に登場したり、進化によってはがねタイプを得るものが多い。,"第二世代起
钢属性宝可梦不会因 毒属性 招式陷入 中毒 状态 * 。
第三世代起
钢属性宝可梦不会陷入 中毒 和 剧毒 状态。
钢属性宝可梦不会受到 天气型状态 沙暴 的伤害。
第七世代起
拥有 腐蚀 特性的宝可梦使用能使对方中毒的 变化招式 可以让钢属性宝可梦中毒。","Note: Type effectiveness multipliers may vary in other games outside the core series .
In Generations II - V , Steel-type Pokémon resisted Ghost - and Dark-type moves . The Fairy type was introduced in Generation VI .
Additional effects
Steel-type Pokémon are immune to damage from the sandstorm weather condition.
